code,codetype,code_description,event
36430,CPT,"Transfusion, blood or blood components",transfusion
P9010,HCPCS,"Blood (whole), for transfusion, per unit",transfusion
P9011,HCPCS,"Blood, split unit",transfusion
P9016,HCPCS,"Red blood cells, leukocytes reduced, each unit",transfusion
P9021,HCPCS,"Red blood cells, each unit",transfusion
P9022,HCPCS,"Red blood cells, washed, each unit",transfusion
P9038,HCPCS,"Red blood cells, irradiated, each unit",transfusion
P9039,HCPCS,"Red blood cells, deglycerolized, each unit",transfusion
P9040,HCPCS,"Red blood cells, leukocytes reduced, irradiated, each unit",transfusion
P9051,HCPCS,"Whole blood or red blood cells, leukocytes reduced, cmv-negative, each unit",transfusion
P9054,HCPCS,"Whole blood or red blood cells, leukocytes reduced, frozen, deglycerol, washed, each unit",transfusion
P9056,HCPCS,"Whole blood, leukocytes reduced, irradiated, each unit",transfusion
P9057,HCPCS,"Red blood cells, frozen/deglycerolized/washed, leukocytes reduced, irradiated, each unit",transfusion
P9058,HCPCS,"Red blood cells, leukocytes reduced, cmv-negative, irradiated, each unit",transfusion
30230H1,ICD-10-PCS,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Open Approach",transfusion
30233H1,ICD-10-PCS,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous",transfusion
30240H1,ICD-10-PCS,"Transfusion of Nonautologous Whole Blood into Central Vein, Open Approach",transfusion
30243H1,ICD-10-PCS,"Transfusion of Nonautologous Whole Blood into Central Vein, Percutaneous Approach",transfusion
99.03,ICD-9-CM,Other transfusion of whole blood,transfusion
10415-8,LOINC,Transfuse blood exchange transfusion [Volume],transfusion
79569-0,LOINC,Blood product given [Type],transfusion
I21,ICD10CM,Myocardial_infarction,cci
I2101,ICD10CM,Myocardial_infarction,cci
I2102,ICD10CM,Myocardial_infarction,cci
I2109,ICD10CM,Myocardial_infarction,cci
I2111,ICD10CM,Myocardial_infarction,cci
I2119,ICD10CM,Myocardial_infarction,cci
I2121,ICD10CM,Myocardial_infarction,cci
I2129,ICD10CM,Myocardial_infarction,cci
I213,ICD10CM,Myocardial_infarction,cci
I214,ICD10CM,Myocardial_infarction,cci
I219,ICD10CM,Myocardial_infarction,cci
I21A,ICD10CM,Myocardial_infarction,cci
I21A1,ICD10CM,Myocardial_infarction,cci
I21A9,ICD10CM,Myocardial_infarction,cci
I22,ICD10CM,Myocardial_infarction,cci
I220,ICD10CM,Myocardial_infarction,cci
I221,ICD10CM,Myocardial_infarction,cci
I222,ICD10CM,Myocardial_infarction,cci
I228,ICD10CM,Myocardial_infarction,cci
I229,ICD10CM,Myocardial_infarction,cci
I252,ICD10CM,Myocardial_infarction,cci
410,ICD10CM,Myocardial_infarction,cci
4100,ICD10CM,Myocardial_infarction,cci
41000,ICD10CM,Myocardial_infarction,cci
41001,ICD10CM,Myocardial_infarction,cci
41002,ICD10CM,Myocardial_infarction,cci
4101,ICD10CM,Myocardial_infarction,cci
41010,ICD10CM,Myocardial_infarction,cci
41011,ICD10CM,Myocardial_infarction,cci
